destination,1,2,4,5,6,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49,50,51,53,54,55,56,72
34,853,990,979,139,6640,1338,2042,2265,923,12460,2989,105,0,1639,751,71,227,618,589,469,3249,3858,2363,697,108,1068,81,328,951,848,0,103,48078,3102,0,1114,134,861,19547,356,968,22,1187,4302,370,871,4877,801,461,115,0,4072
35,63,420,5551,104,5697,4478,395,238,71,1953,1238,497,68,985,325,104,878,402,201,52,638,913,517,332,184,1399,49,256,1144,78,513,0,323,1030,11,561,848,1155,491,0,989,737,622,13726,2818,0,1701,1073,198,509,273,0
36,1648,6790,3642,699,23533,4058,14393,1167,3066,31672,9165,1034,194,8723,1371,831,2093,820,1576,1477,6310,14626,3030,1209,702,2058,0,280,1692,2212,29210,1723,0,10866,119,8574,1379,2020,24243,2810,5743,443,1458,13125,822,2412,11810,2792,725,1412,309,4536
37,3268,4199,4437,1350,14315,4554,3918,1111,2032,24551,20440,1016,750,6500,1888,1380,1237,3911,1474,615,13538,6177,6438,1969,1661,1207,750,648,2165,1923,7690,1143,22751,0,0,8939,1743,1442,13268,560,22996,0,7249,9617,1084,863,30058,1929,3684,1449,35,1526
38,0,159,1312,0,2051,1463,75,0,116,1109,305,0,218,270,769,255,0,22,86,0,147,50,513,15790,309,492,1563,289,297,49,124,81,141,45,0,316,204,1058,0,0,48,2940,128,2989,487,117,558,642,0,464,857,0
39,1318,663,2793,738,9126,3654,1365,19,295,16042,4389,23,1359,8352,14000,1163,1247,13311,2020,122,3155,3147,16503,1334,1354,1370,465,383,1030,745,3181,1208,8011,11127,34,0,1459,925,11772,1021,1730,0,5100,5773,1794,393,5206,3099,9890,2390,151,3130
40,1024,1550,3203,8702,7959,4354,402,56,60,2998,2855,649,679,1659,2016,386,6628,1566,2348,187,930,147,1376,870,1950,4330,287,1232,1153,298,102,1408,1655,4120,166,625,0,716,1572,387,1219,367,1385,27391,568,0,2369,1076,589,1125,561,509
41,704,3439,7611,608,31380,6024,251,321,388,4099,605,2404,7191,1577,845,872,798,663,690,47,412,1577,1283,2457,926,558,2889,1011,2513,0,823,2203,2951,779,1154,482,1323,0,1456,121,666,49,741,8185,3518,115,3264,29782,0,1064,1022,94
42,720,667,2189,1971,7269,2039,5411,6338,1601,14195,7412,487,331,3865,1157,682,713,1402,1226,951,17561,7336,3179,902,329,2151,201,302,595,906,36413,383,33475,7480,464,11615,2085,1503,0,697,3853,188,3335,9631,972,621,9392,2460,3524,1586,515,8640
44,279,102,22,0,2272,0,2746,337,0,1731,93,141,44,323,22,0,0,0,792,418,1395,9091,613,377,387,23,0,491,0,1037,1696,0,3856,740,0,217,0,6,2178,0,486,0,6,569,0,857,603,106,52,0,0,345
